"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-ligne-prescription","fr-ligne-prescription","","","",0,*,"","","","null {[]} {[]}
","Ligne de precription","Structuration d'une ligne de prescription [à compléter].","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-ligne-prescription.traitement","fr-ligne-prescription.traitement","","","",0,1,"","","","Base {[]} {[]}
","Identification du traitement concerné par la ligne de prescription","Identification du traitement concerné par la ligne de prescription","","","","","","","","","",,,,,"",,,,"fr-ligne-prescription.traitement",0,1,"",""
"fr-ligne-prescription.traitement.identifiant","fr-ligne-prescription.traitement.identifiant","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiant du traitement prescrit","Identifiant du traitement prescrit","","","","","","","","","",,,,,"",,,,"fr-ligne-prescription.traitement.identifiant",0,1,"",""
"fr-ligne-prescription.traitement.dosage","fr-ligne-prescription.traitement.dosage","","","",0,*,"","","","Base {[]} {[]}
","Quantité de substance active dans une unité de dispensation","Quantité de substance active dans une unité de dispensation","","","","","","","","","",,,,,"",,,,"fr-ligne-prescription.traitement.dosage",0,*,"",""
"fr-ligne-prescription.traitement.dosage.valeur","fr-ligne-prescription.traitement.dosage.valeur","","","",0,1,"","","","decimal {[]} {[]}
","Valeur du dosage dans une unité de dispensiation","Valeur du dosage dans une unité de dispensiation","","","","","","","","","",,,,,"",,,,"fr-ligne-prescription.traitement.dosage.valeur",0,1,"",""
"fr-ligne-prescription.traitement.dosage.unite","fr-ligne-prescription.traitement.dosage.unite","","","",0,1,"","","","code {[]} {[]}
","Unité du dosage dans une unité de dispensiation","Unité du dosage dans une unité de dispensiation","","","","","","","","","",,,,,"",,,,"fr-ligne-prescription.traitement.dosage.unite",0,1,"",""
"fr-ligne-prescription.traitement.forme","fr-ligne-prescription.traitement.forme","","","",0,1,"","","","code {[]} {[]}
","Forme galénique de l'unité de dispensation","Forme galénique de l'unité de dispensation","","","","","","","","","",,,,,"",,,,"fr-ligne-prescription.traitement.forme",0,1,"",""
"fr-ligne-prescription.dateDebut","fr-ligne-prescription.dateDebut","","","",0,1,"","","","dateTime {[]} {[]}
","Date de début de la ligne de prescription","Date de début de la ligne de prescription","","","","","","","","","",,,,,"",,,,"fr-ligne-prescription.dateDebut",0,1,"",""
"fr-ligne-prescription.dateFin","fr-ligne-prescription.dateFin","","","",0,1,"","","","dateTime {[]} {[]}
","Date de fin de la ligne de prescription","Date de fin de la ligne de prescription","","","","","","","","","",,,,,"",,,,"fr-ligne-prescription.dateFin",0,1,"",""
"fr-ligne-prescription.posologie","fr-ligne-prescription.posologie","","","",0,*,"","","","https://hl7.fr/ig/fhir/medication/StructureDefinition/fr-posologie {[]} {[]}
","Structure de la posologie par séquences de prise.","Structure de la posologie par séquences de prise.","","","","","","","","","",,,,,"",,,,"fr-ligne-prescription.posologie",0,*,"",""
